ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"184.191.162.4","anonymous","AS22773","US","Cox Communications Inc.","157","Cox Communications","3128","http","1270","5140","2022-09-29T16:45:34.041Z","100","12","12"
"177.93.77.10","elite","AS263163","BR","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","193","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","4153","socks4","417","1","2022-09-29T16:45:32.505Z","99","106","107"
"170.254.201.17","anonymous","AS265130","BR","ultraconexão soluçoes eireli","197","ultraconexão soluçoes eireli","3180","http","3191","5116","2022-09-29T16:45:32.504Z","100","9","9"
"83.219.133.85","anonymous","AS31214","RU","TIS-DIALOG","44","N/A","8080","http","451","475","2022-09-29T16:45:29.399Z","100","107","107"
"85.25.111.162","elite","AS61157","DE","PlusServer GmbH","34","PlusServer GmbH","5566","http","2588","112","2022-09-29T16:45:29.078Z","100","105","105"
"94.28.14.70","elite","AS24588","RU","Enforta-KUR","66","N/A","4145","socks4","443","137","2022-09-29T16:45:29.408Z","100","107","107"
"54.38.94.26","elite","AS16276","FR","OVH SAS","7","OVH","17809","socks4","2255","1","2022-09-29T16:45:29.076Z","100","85","85"
"211.194.214.128","elite","AS4766","KR","Korea Telecom","225","KORNET","9050","socks4","1910","1","2022-09-29T16:45:29.077Z","100","90","90"
"218.91.50.234","elite","AS4134","CN","Chinanet","242","Chinanet JS","1080","socks5","4461","1","2022-09-29T16:45:26.309Z","92","61","66"
"162.12.217.30","elite","AS394648","FR","Weelax","118","Weelax","3629","socks4","3845","1","2022-09-29T16:45:26.311Z","100","32","32"
"159.65.187.118","elite","AS14061","US","DigitalOcean, LLC","85","Digital Ocean","53783","socks5","2744","1","2022-09-29T16:45:26.858Z","100","8","8"
"182.253.159.115","elite","AS17451","ID","BIZNET","177","N/A","5678","socks4","4257","1","2022-09-29T16:45:24.084Z","100","67","67"
"178.154.228.16","elite","AS200350","RU","Yandex Cloud","47","N/A","9050","socks5","4813","5","2022-09-29T16:45:17.575Z","100","107","107"
"202.43.112.34","elite","AS45325","ID","PC24NET","185","N/A","4145","socks4","5172","1","2022-09-29T16:45:17.574Z","100","97","97"
"41.184.211.21","elite","AS29091","NG","ipNX Nigeria Limited","107","ipNX NIGERIA LIMITED","5678","socks4","4962","1","2022-09-29T16:45:15.911Z","94","76","81"
"84.237.248.137","elite","AS12578","LV","LATTELEKOM","49","N/A","4153","socks4","4489","1","2022-09-29T16:45:14.156Z","100","52","52"
"41.193.226.57","elite","AS11845","ZA","Vox Telecom Ltd","201","Vox Telecom","5678","socks4","5013","1","2022-09-29T16:45:12.178Z","77","72","94"
"177.105.68.163","elite","AS262637","BR","Netprimus Tecnologia Ltda","210","Netprimus Tecnologia Ltda","4153","socks4","5053","1","2022-09-29T16:45:12.177Z","100","86","86"
"177.184.64.2","elite","AS52898","BR","Multipla Serviços Inteligentes","258","Multipla Serviços Inteligentes","4145","socks4","4953","1","2022-09-29T16:45:07.231Z","100","102","102"
"176.56.107.245","elite","AS29119","ES","Aire Networks","1733","Aire Networks Del Mediterraneo SL Unipersonal","32695","socks4","2924","1","2022-09-29T16:45:07.228Z","50","1","2"
"217.60.176.31","elite","AS31549","IR","Aria Shatel Company Ltd","162","SHATEL Network","5678","socks4","4890","1","2022-09-29T16:45:07.230Z","74","59","80"
"51.255.219.244","elite","AS16276","FR","OVH SAS","5","berdin stephane","7497","socks5","4390","1","2022-09-29T16:45:01.955Z","100","65","65"
"135.181.140.215","elite","AS24940","FI","Hetzner Online GmbH","35","Hetzner","43491","socks4","4031","1","2022-09-29T16:45:01.946Z","100","107","107"
"75.119.203.210","elite","AS26347","US","New Dream Network, LLC","150","New Dream Network, LLC","32524","socks4","5106","1","2022-09-29T16:45:01.940Z","100","84","84"
"139.162.253.106","anonymous","AS63949","GB","Linode, LLC","8","Linode, LLC","3128","http","4783","3093","2022-09-29T16:44:59.323Z","100","84","84"
"156.239.144.6","elite","AS22773","US","Cox Communications Inc.","83","GBTCloud Inc","10001","socks4","5163","1","2022-09-29T16:44:52.934Z","100","69","69"
"104.25.184.189","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","5021","1","2022-09-29T16:44:49.937Z","100","74","74"
"188.124.36.212","elite","AS49505","RU","OOO \"Network of data-centers \"Selectel\"","37","N/A","23525","socks4","4479","1","2022-09-29T16:44:46.635Z","100","93","93"
"104.129.206.65","elite","AS22616","US","ZSCALER, INC.","89","Zscaler, Inc.","8800","socks4","4996","1","2022-09-29T16:44:43.905Z","97","104","107"
"200.212.2.72","elite","AS4230","BR","Claro S.A.","214","Claro S.A","61283","socks4","4926","1","2022-09-29T16:44:43.903Z","100","93","93"
"173.245.252.206","elite","AS13428","US","Surf Air Wireless, LLC","91","Surf Air Wireless, LLC","54321","socks4","4883","1","2022-09-29T16:44:40.258Z","100","108","108"
"45.7.177.245","elite","AS266626","BR","Litoral Telecom","211","Litoral Telecom","39867","socks4","4930","1","2022-09-29T16:44:40.257Z","98","86","88"
"201.76.211.122","elite","AS28653","BR","Wnet Internet Ltda.","193","Wnet Internet Ltda","2580","socks4","4559","1","2022-09-29T16:44:40.255Z","64","69","108"
"112.87.5.245","elite","AS4837","CN","China Unicom CHINA169 Jiangsu Province Network","214","N/A","38801","socks4","4151","1","2022-09-29T16:44:40.258Z","92","98","107"
"163.172.84.25","elite","AS12876","FR","Online S.A.S.","1","ONLINE","9741","socks4","4821","1","2022-09-29T16:44:36.881Z","100","91","91"
"200.116.198.164","elite","AS8065","CO","EPM Telecomunicaciones S.A. E.S.P","210","Mpio Manizales","35683","socks4","4595","1","2022-09-29T16:44:36.882Z","28","21","76"
"61.182.224.169","elite","AS4837","CN","CNC Group CHINA169 Hebei Province Network","174","N/A","7300","socks5","4429","1","2022-09-29T16:44:36.881Z","99","83","84"
"45.7.177.243","elite","AS266626","BR","Litoral Telecom","208","Litoral Telecom","39867","socks4","5102","1","2022-09-29T16:44:33.092Z","99","67","68"
"75.119.202.104","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","32524","socks5","2836","1","2022-09-29T16:44:33.091Z","100","89","89"
"177.105.68.198","elite","AS262637","BR","Netprimus Tecnologia Ltda","217","Netprimus Tecnologia Ltda","4153","socks4","4568","1","2022-09-29T16:44:29.656Z","99","100","101"
"103.56.205.79","elite","AS58477","ID","Argon Data Communication","211","Argon","5678","socks4","4800","2","2022-09-29T16:44:29.657Z","95","102","107"
"176.227.155.65","elite","AS199482","ES","Baza Sanganet","34","N/A","9999","socks4","4543","1","2022-09-29T16:44:22.597Z","100","83","83"
"91.198.137.31","elite","AS42927","PL","HOST1","27","Adrian Andreas Zajonz","3509","socks4","3857","1","2022-09-29T16:44:22.599Z","100","107","107"
"5.183.179.117","elite","AS9009","DE","M247 Ltd","20","Think Huge Ltd","45698","socks4","5096","1","2022-09-29T16:44:22.602Z","100","85","85"
"212.42.113.240","elite","AS8449","KG","\"ElCat\" Ltd.","112","ElCat, Ltd.","37545","socks4","4848","1","2022-09-29T16:44:22.599Z","100","49","49"
"41.191.203.89","elite","AS37057","LS","ENTERPRISE","271","N/A","5678","socks4","4886","2","2022-09-29T16:44:18.871Z","100","93","93"
"203.24.109.130","elite","AS209242","BZ","Cloudflare London","2","Umpire Associates LTD","80","socks5","4944","1","2022-09-29T16:44:15.124Z","100","51","51"
"75.119.202.247","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","52186","socks5","3495","1","2022-09-29T16:44:15.123Z","100","89","89"
"170.81.160.124","elite","AS266420","BR","NTC Comunicaçoes Ltda ME","198","NTC Comunicaçoes Ltda ME","42832","socks5","5061","1","2022-09-29T16:44:15.124Z","100","107","107"
"103.242.107.241","elite","AS58821","ID","PT Lintas Jaringan Nusantara","176","PT Lintas Jaringan Nusantara","4145","socks4","4791","1","2022-09-29T16:44:11.421Z","100","95","95"
"173.244.200.157","elite","AS32780","US","Hosting Services, Inc.","73","Hosting Services, Inc.","46374","socks4","4958","1","2022-09-29T16:44:07.735Z","100","101","101"
"147.182.229.154","elite","AS14061","US","DigitalOcean, LLC","156","DigitalOcean, LLC","7497","socks5","4850","1","2022-09-29T16:44:07.732Z","99","93","94"
"170.150.159.18","elite","AS27901","CL","Pacifico Cable SPA.","204","Pacifico Cable SPA","3389","socks5","4294","1","2022-09-29T16:44:03.840Z","100","73","73"
"217.61.129.17","elite","AS50926","ES","Axarnet Comunicaciones","23","CubeNode System","64811","socks5","5119","1","2022-09-29T16:44:03.841Z","100","82","82"
"45.7.210.201","elite","AS265729","AR","Cooperativa de Servicios Públicos de Porteña LTDA","231","Cooperativa de Servicios Públicos de Porteña LTDA","4153","socks4","5125","1","2022-09-29T16:44:03.844Z","100","101","101"
"172.98.161.155","elite","AS1239","US","BraveWay LLC","92","Wifiber IKE","21157","socks5","4150","1","2022-09-29T16:44:03.843Z","100","59","59"
"54.38.195.161","elite","AS16276","PL","OVH SAS","30","OVH Sp. z o. o","63851","socks5","4851","1","2022-09-29T16:44:00.694Z","100","103","103"
"179.1.129.94","anonymous","AS18678","CO","Internexa S.a. E.S.P","163","Integra Multisolutions S A S","999","http","5143","3235","2022-09-29T16:44:00.698Z","100","72","72"
"209.250.248.127","elite","AS20473","NL","The Constant Company, LLC","13","Vultr Holdings LLC Amsterdam","45534","socks5","4657","1","2022-09-29T16:43:57.050Z","100","46","46"
"102.134.154.254","elite","AS328399","ZA","Vaal Networking Consultants (PTY) LTD","176","VNC","5678","socks4","4834","1","2022-09-29T16:43:57.028Z","100","105","105"
"176.9.0.48","elite","AS24940","DE","Hetzner Online GmbH","14","Hetzner","30942","socks4","3754","1","2022-09-29T16:43:57.049Z","100","85","85"
"27.191.60.153","elite","AS4134","CN","Chinanet","339","Chinanet HE","3256","socks4","4941","1","2022-09-29T16:43:49.998Z","64","68","107"
"110.42.188.54","elite","AS45090","CN","China Internet Network Information Center","258","Tencent cloud computing (Beijing) Co., Ltd.","2080","socks5","4680","1","2022-09-29T16:43:46.645Z","83","90","108"
"5.202.142.33","elite","AS49100","IR","PTS-Network","129","N/A","4145","socks4","4962","1","2022-09-29T16:43:46.643Z","95","83","87"
"177.93.110.17","anonymous","AS53107","BR","EVEO Serviços de Internet Ltda.","178","EVEO Serviços de Internet Ltda","8080","https","5179","899","2022-09-29T16:43:40.306Z","100","51","51"
"176.56.107.228","elite","AS29119","ES","Aire Networks","138","Aire Networks Del Mediterraneo SL Unipersonal","50374","socks4","4981","1","2022-09-29T16:43:40.304Z","74","72","97"
"67.205.2.221","elite","AS26347","US","New Dream Network, LLC","83","New Dream Network, LLC","25064","socks4","4464","1","2022-09-29T16:43:40.302Z","99","106","107"
"86.57.174.152","elite","AS6697","BY","Republican Unitary Telecommunication Enterprise Beltelecom","96","Byfly Grodno Static","41455","socks4","4859","1","2022-09-29T16:43:40.305Z","100","76","76"
"47.242.146.5","elite","AS45102","HK","Alibaba.com LLC","262","Hong Kong","22722","socks4","4878","1","2022-09-29T16:43:36.421Z","100","107","107"
"66.97.37.164","elite","AS27823","AR","Dattatec.com","219","Dattatec Corp","80","socks4","5154","1","2022-09-29T16:43:36.420Z","100","107","107"
"185.66.59.207","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","29","Svint","42647","socks4","5045","1","2022-09-29T16:43:32.686Z","100","61","61"
"87.106.47.118","elite","AS8560","DE","SCHLUND","9","1&1 Internet AG","7497","socks5","3679","1","2022-09-29T16:43:25.110Z","32","34","107"
"69.163.163.6","elite","AS26347","US","New Dream Network, LLC","150","New Dream Network, LLC","37884","socks5","4678","1","2022-09-29T16:43:21.617Z","100","86","86"
"1.20.98.66","elite","AS23969","TH","TOT Public Company Limited","163","TOT Mobile Co LTD","38464","socks4","4690","1","2022-09-29T16:43:18.034Z","100","62","62"
"176.98.156.54","elite","AS57396","RU","PE Aliev Magomed Kadievich","95","IzberbashRoute","4145","socks4","1215","1","2022-09-29T16:43:14.291Z","100","103","103"
"199.60.103.160","elite","AS209242","US","Cloudflare London, LLC","2","HubSpot, Inc.","80","socks5","4783","1","2022-09-29T16:43:14.292Z","100","83","83"
"188.92.242.99","elite","AS25227","RU","JSC Avantel","46","Avantel, Close Joint Stock Company","8088","socks5","5063","1","2022-09-29T16:43:10.777Z","94","48","51"
"213.136.69.153","elite","AS51167","DE","Contabo GmbH","15","Contabo GmbH","63791","socks5","3855","1","2022-09-29T16:43:10.778Z","100","59","59"
"198.24.187.91","elite","AS19437","US","Secured Servers LLC","83","Secured Servers LLC","8080","http","5035","4080","2022-09-29T16:43:10.762Z","100","86","86"
"2.184.4.70","anonymous","AS58224","IR","Iran Telecommunication Company PJS","109","Foolad Iranian Company","6565","http","346","7739","2022-09-29T16:43:06.705Z","100","9","9"
"134.236.118.74","elite","AS131090","TH","CAT-BB","166","N/A","4145","socks4","4882","1","2022-09-29T16:43:06.704Z","58","42","73"
"185.66.59.197","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","23","Svint","42647","socks4","4921","1","2022-09-29T16:43:02.961Z","100","76","76"
"197.234.13.60","elite","AS36902","SC","Intelvision","179","Intelvision Ltd","4145","socks4","4861","1","2022-09-29T16:42:55.194Z","100","69","69"
"116.199.174.1","elite","AS45661","IN","Capture Network Systems Pvt Ltd","120","Capture Network Systems Pvt. Ltd.","4145","socks4","3806","1","2022-09-29T16:42:55.197Z","98","93","95"
"194.48.151.148","elite","AS204396","ES","OLVERA CA.T.V., S. COOP. AND.","43","OLVERA CA.T.V., S. COOP","5678","socks4","4775","1","2022-09-29T16:42:55.213Z","95","102","107"
"36.92.93.141","elite","AS7713","ID","Telekomunikasi Indonesia","172","Temporary","5678","socks4","5129","1","2022-09-29T16:42:51.171Z","100","33","33"
"102.66.234.71","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","535","Herotel","5678","socks4","4848","1","2022-09-29T16:42:47.361Z","29","21","72"
"1.2.214.8","elite","AS23969","TH","TOT Public Company Limited","151","TOT Public Company Limited","4145","socks4","5022","1","2022-09-29T16:42:43.944Z","87","93","107"
"120.42.46.226","elite","AS4134","CN","Chinanet","531","Chinanet FJ","6666","socks5","4742","1","2022-09-29T16:42:43.950Z","92","98","107"
"194.186.110.147","elite","AS3216","RU","SOVAM","75","N/A","3629","socks4","505","1","2022-09-29T16:42:43.949Z","94","101","107"
"180.241.163.79","elite","AS7713","ID","PT. TELKOM INDONESIA","173","N/A","3128","socks4","4631","1","2022-09-29T16:42:40.282Z","99","95","96"
"23.225.129.132","elite","AS132839","US","POWER LINE (HK) CO., LIMITED","180","CloudRadium L.L.C","39877","socks4","5183","1","2022-09-29T16:42:36.457Z","100","64","64"
"46.148.163.119","elite","AS197405","PL","Tomkow Sp. z o.o.","33","Tomkow Sp. z o.o","5678","socks4","4592","1","2022-09-29T16:42:36.455Z","100","55","55"
"101.42.116.41","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","220","Tencent Cloud Computing (Beijing) Co., Ltd","10809","socks4","5026","1","2022-09-29T16:42:28.907Z","93","99","107"
"190.109.72.248","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","204","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","5073","1","2022-09-29T16:42:28.905Z","97","90","93"
"103.211.8.189","elite","AS135691","IN","Cloudlasers Broadband","180","N/A","44581","socks4","5082","1","2022-09-29T16:42:25.105Z","99","74","75"
"196.3.100.42","anonymous","AS31960","MZ","Eduardo Mondlane University","213","100/24 UEM","8080","https","4785","2042","2022-09-29T16:42:25.106Z","100","19","19"
"100.2.109.83","elite","AS701","US","Verizon Online LLC","96","Verizon Online LLC","8080","socks5","5001","1","2022-09-29T16:42:25.097Z","97","57","59"
"93.43.193.230","elite","AS12874","IT","Fastweb SpA","26","Fastweb Internet NGA","8080","socks4","4977","1","2022-09-29T16:42:17.376Z","100","105","105"
"103.236.161.51","elite","AS45720","ID","Lembaga Pengelola Dana Bergulir","164","Lembaga Pengelola Dana Bergulir","5430","socks4","3984","1","2022-09-29T16:42:17.397Z","99","79","80"
"47.101.202.178","elite","AS37963","CN","Addresses CNNIC","223","Aliyun Computing Co., LTD","7891","socks4","3373","1","2022-09-29T16:42:17.379Z","96","103","107"
"163.177.159.149","elite","AS136959","CN","China Unicom CHINA169 Guangdong Network","250","N/A","8090","socks4","5266","1","2022-09-29T16:42:13.287Z","100","86","86"
"136.49.189.2","elite","AS16591","US","Google Fiber Inc.","112","Google Fiber Inc","8080","socks4","4629","1","2022-09-29T16:42:13.292Z","100","93","93"
"72.52.131.65","elite","AS32244","US","Liquid Web, L.L.C","99","SourceDNS","80","socks5","3557","1","2022-09-29T16:42:09.241Z","99","71","72"
"5.196.127.12","elite","AS16276","FR","OVH SAS","5","GUYONVARHO Michel","80","http","4818","3939","2022-09-29T16:42:05.586Z","100","49","49"
"75.119.206.112","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","32524","socks5","5065","1","2022-09-29T16:42:05.586Z","100","89","89"
"89.111.133.217","elite","AS48287","RU","CENTER hosting","51","JSC Ru-center","9151","socks5","4943","1","2022-09-29T16:42:05.582Z","100","104","104"
"103.47.93.195","elite","AS134058","IN","Broban Internet Services Pvt.ltd","153","Broban  PVT Ltd.","1080","socks4","4282","1","2022-09-29T16:41:57.947Z","99","96","97"
"89.237.34.17","elite","AS20485","RU","multi-origin SUTTK","68","N/A","37647","http","4872","735","2022-09-29T16:41:54.329Z","100","107","107"
"77.46.138.37","elite","AS8400","RS","TELEKOM-SRBIJA","37","N/A","33608","socks4","5290","1","2022-09-29T16:41:54.324Z","100","105","105"
"103.47.93.205","elite","AS134058","IN","Broban Internet Services Pvt.ltd","224","Broban  PVT Ltd.","1080","socks4","807","1","2022-09-29T16:41:50.631Z","100","106","106"
"134.119.221.137","elite","AS29066","FR","Host Europe GmbH","8","Bogdan Gribov","30884","socks5","4633","1","2022-09-29T16:41:46.577Z","99","88","89"
"212.83.142.131","elite","AS12876","FR","Online S.A.S.","1","ONLINE","34584","socks4","4637","1","2022-09-29T16:41:46.564Z","100","88","88"
"103.47.93.206","elite","AS134058","IN","Broban Internet Services Pvt.ltd","226","Broban  PVT Ltd.","1080","socks4","4565","1","2022-09-29T16:41:42.858Z","100","107","107"
"222.129.35.173","elite","AS4808","CN","China Unicom Beijing Province Network","240","N/A","57114","socks4","5122","1","2022-09-29T16:41:42.858Z","93","100","107"
"85.222.67.66","elite","AS6830","PL","ASTER Sp. z o.o.","40","Aster Sp. z o.o.","5678","socks4","4712","1","2022-09-29T16:41:42.857Z","92","79","86"
"118.68.218.212","elite","AS18403","VN","FPT Telecom Company","202","FPTDYNAMICIP","8080","socks4","5090","1","2022-09-29T16:41:39.006Z","91","92","101"
"89.162.185.34","elite","AS15895","UA","SOL Network","41","N/A","1080","socks5","4659","1","2022-09-29T16:41:35.287Z","98","103","105"
"202.21.102.68","elite","AS9484","MN","Mobinet LLC","128","MobiNet","5678","socks4","4621","1","2022-09-29T16:41:27.345Z","97","104","107"
"51.68.87.73","elite","AS16276","FR","OVH SAS","7","OVH","45177","socks4","5036","1","2022-09-29T16:41:27.357Z","100","70","70"
"75.119.203.97","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","32524","socks5","3524","1","2022-09-29T16:41:27.346Z","100","87","87"
"58.236.162.216","elite","AS9318","KR","SK Broadband Co Ltd","206","broadNnet","1080","socks5","4909","1","2022-09-29T16:41:23.581Z","100","94","94"
"1.2.222.221","elite","AS23969","TH","TOT Public Company Limited","152","TOT Public Company Limited","4145","socks4","5076","1","2022-09-29T16:41:20.317Z","77","67","87"
"202.165.38.185","elite","AS17538","ID","Circlecom","197","N/A","5678","socks4","5094","1","2022-09-29T16:41:20.314Z","99","72","73"
"43.153.56.181","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","147","Tencent Cloud Computing (Beijing) Co., Ltd","443","socks5","3272","1","2022-09-29T16:41:12.731Z","10","6","60"
"170.254.255.229","elite","AS52584","BR","Connect Fibra","225","Connect Fibra","45816","socks4","5116","1","2022-09-29T16:41:12.732Z","100","96","96"
"68.183.17.152","elite","AS14061","US","DigitalOcean, LLC","84","DigitalOcean, LLC","8016","socks5","5055","2","2022-09-29T16:41:12.731Z","100","91","91"
"112.78.164.62","elite","AS17451","ID","Biznet Networks","190","Metronet","5678","socks4","4930","1","2022-09-29T16:41:09.018Z","97","104","107"
"103.39.236.205","elite","AS133255","IN","Elxer Communications Private Limited","155","Elxer Communications Private Limited","8080","socks4","4891","1","2022-09-29T16:41:01.421Z","100","107","107"
"82.66.27.145","elite","AS12322","FR","Proxad / Free SAS","10","ProXad network / Free SA","8118","http","5082","7936","2022-09-29T16:41:01.420Z","100","107","107"
"212.83.142.158","elite","AS12876","FR","Online S.A.S.","1","ONLINE","64599","socks4","4916","1","2022-09-29T16:41:01.418Z","100","69","69"
"172.67.187.242","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4933","1","2022-09-29T16:40:57.660Z","100","107","107"
"182.253.159.142","elite","AS17451","ID","BIZNET","175","N/A","1080","socks4","5050","1","2022-09-29T16:40:57.659Z","100","47","47"
"31.186.239.244","elite","AS55256","NL","NetSkope Inc","9","InterNAP Network Services","8080","https","4959","504","2022-09-29T16:40:57.661Z","100","107","107"
"103.12.246.129","elite","AS134941","IN","Instant Cable Network PVT LTD","168","Instant Cable Network PVT LTD","4145","socks4","4879","1","2022-09-29T16:40:53.871Z","99","90","91"
"92.72.191.67","elite","AS3209","DE","ARCOR-IP","34","Arcor AG","8081","socks4","4304","1","2022-09-29T16:40:49.718Z","100","87","87"
"182.253.154.184","elite","AS17451","ID","BIZNET","244","N/A","5678","socks4","5005","1","2022-09-29T16:40:49.717Z","78","43","55"
"134.119.213.33","elite","AS29066","FR","Host Europe GmbH","7","Bogdan Gribov","30114","socks4","5045","1","2022-09-29T16:40:49.717Z","100","85","85"
"104.20.125.124","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4972","1","2022-09-29T16:40:45.995Z","99","71","72"
"177.105.68.41","elite","AS262637","BR","Netprimus Tecnologia Ltda","213","Netprimus Tecnologia Ltda","4153","socks4","4094","1","2022-09-29T16:40:45.993Z","100","103","103"
"185.244.30.43","elite","AS208476","BY","Freedom for Belarus","50","The PRIVACYFIRST Project","24301","socks4","4889","1","2022-09-29T16:40:45.995Z","100","107","107"
"185.66.59.198","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","32","Svint","42647","socks4","309","1","2022-09-29T16:40:45.994Z","100","91","91"
"123.155.48.196","elite","AS4837","CN","CNC Group CHINA169 Zhejiang Province Network","189","N/A","1080","socks5","4635","1","2022-09-29T16:40:45.996Z","84","75","89"
"105.213.187.143","elite","AS16637","ZA","MTN SA","192","MTN SA","5678","socks4","4826","1","2022-09-29T16:40:42.298Z","98","104","106"
"143.198.237.236","elite","AS14061","US","DigitalOcean, LLC","149","DigitalOcean, LLC","9050","socks5","4098","1","2022-09-29T16:40:42.299Z","64","4157","6515"
"61.247.180.182","elite","AS38031","BD","Optimax Communication Ltd.","150","OptiMax Communication Ltd","10800","socks4","4881","1","2022-09-29T16:40:30.852Z","90","96","107"
"177.105.68.97","elite","AS262637","BR","Netprimus Tecnologia Ltda","214","Netprimus Tecnologia Ltda","4153","socks4","5013","1","2022-09-29T16:40:27.203Z","99","83","84"
"177.85.205.137","elite","AS52554","BR","S. A. da Silva Junior","180","S. A. da Silva Junior","3629","socks4","4809","1","2022-09-29T16:40:23.616Z","100","107","107"
"199.87.210.189","elite","AS395092","US","Shock Hosting LLC","137","Shock Hosting LLC","10601","socks5","5007","1","2022-09-29T16:40:19.877Z","99","107","108"
"145.239.81.129","elite","AS16276","PL","OVH SAS","27","OVH Sp. z o. o","8011","socks5","5091","1","2022-09-29T16:40:19.881Z","100","71","71"
"167.99.50.159","elite","AS14061","US","DigitalOcean, LLC","84","Digital Ocean","45788","socks5","5026","1","2022-09-29T16:40:16.181Z","100","107","107"
"102.66.233.229","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","279","Herotel","5678","socks4","4660","1","2022-09-29T16:40:16.182Z","67","63","94"
"176.97.80.48","elite","AS198073","PL","Telewizja Kablowa Slupsk Sp. z o. o.","67","Telewizja Kablowa \"Slupsk\" Sp. z o.o.","5678","socks4","5020","1","2022-09-29T16:40:12.356Z","100","55","55"
"197.234.13.20","elite","AS36902","SC","Intelvision","174","Intelvision Ltd","4145","socks4","4349","1","2022-09-29T16:40:12.360Z","100","107","107"
"130.185.121.78","elite","AS208006","NL","Softqloud GmbH","11","Softqloud GmbH","3535","socks5","4682","1","2022-09-29T16:40:12.369Z","100","81","81"
"118.174.46.147","elite","AS131293","TH","TOT Public Company Limited","176","TOT Public Company Limited","45764","socks4","4989","1","2022-09-29T16:40:08.484Z","100","93","93"
"109.86.219.179","elite","AS13188","UA","Triolan","53","N/A","55489","socks4","3280","1","2022-09-29T16:40:08.490Z","93","90","97"
"189.109.224.170","elite","AS10429","BR","Vivo","223","TELEF�NICA BRASIL S.A","8081","socks4","4974","1","2022-09-29T16:40:04.706Z","98","58","59"
"167.206.253.141","elite","AS6128","US","Cablevision Systems Corp.","81","Hopatcong Schools","8080","socks5","5140","1","2022-09-29T16:40:04.704Z","100","63","63"
"104.18.161.122","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks5","4997","1","2022-09-29T16:40:04.705Z","100","107","107"
"103.70.159.128","elite","AS133720","IN","speednet","119","N/A","5678","socks4","5054","1","2022-09-29T16:40:04.701Z","100","55","55"
"47.242.232.206","elite","AS45102","HK","Alibaba.com LLC","242","Hong Kong","39426","socks5","4732","1","2022-09-29T16:40:00.990Z","53","57","107"
"103.5.172.242","elite","AS58427","AF","Global Entourage Services","114","Aftel","5678","socks4","5095","1","2022-09-29T16:39:57.245Z","99","68","69"
"178.32.223.222","elite","AS16276","FR","OVH ISP","5","OVH","8118","http","3837","4162","2022-09-29T16:39:57.246Z","100","107","107"
"134.209.111.155","elite","AS14061","SG","DigitalOcean, LLC","157","DigitalOcean, LLC","7497","socks5","2934","1","2022-09-29T16:39:49.982Z","100","107","107"
"104.16.107.142","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","4671","1","2022-09-29T16:39:49.981Z","100","83","83"
"103.74.121.46","elite","AS135967","VN","Branch of BachKim Network solutions jsc","211","Branch of BachKim Network solutions","27102","socks5","5079","1","2022-09-29T16:39:49.998Z","100","107","107"
"149.20.253.101","elite","AS18615","US","Mainstream Fiber Networks, LLC","104","Mainstream Fiber Networks, LLC","12551","socks4","4047","1","2022-09-29T16:39:45.655Z","100","105","105"
"220.249.79.138","elite","AS9929","CN","CNC Group CHINA169 Hubei Province Network","197","N/A","10109","socks4","4775","1","2022-09-29T16:39:41.933Z","100","107","107"
"43.132.247.227","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","243","Tencent Cloud Computing","11038","socks5","4955","1","2022-09-29T16:39:38.285Z","100","70","70"
"136.243.174.243","elite","AS24940","DE","Hetzner Online GmbH","14","Hetzner","1080","socks4","239","1","2022-09-29T16:39:34.559Z","100","6638","6642"
"43.153.174.223","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","250","Tencent Cloud Computing (Beijing) Co., Ltd","443","socks5","2507","1","2022-09-29T16:39:34.541Z","46","27","59"
"41.85.189.66","elite","AS28683","BJ","Benin Telecoms Infrastructures SA","125","N/A","39475","socks4","4884","1","2022-09-29T16:39:30.584Z","100","82","82"
